"CELL_NODE_ID","VENDOR","NODEID","CELLID","NODENAME","CELLNAME","DATEADDED","OBJECTNAME"
"","NOKIA SIEMENS","500365","11","KHVN23","KHVN23M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-500365/LNBTS-500365/LNCEL-11"
"","NOKIA SIEMENS","160279","13","QNBS20","QNBS20M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-160279/LNBTS-160279/LNCEL-13"
"","NOKIA SIEMENS","100623","11","HN_DAH_THON_BAU","HN_DAH_THON_BAU_C4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-100623/LNBTS-100623/LNCEL-11"
"","NOKIA SIEMENS","380130","12","LSCL29","LSCL29B_LTE",26-AUG-21 00:00:00,"PLMN-PLMN/MRBTS-380130/LNBTS-380130/LNCEL-12"
"","NOKIA SIEMENS","580617","11","LATU26","LATU26M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-580617/LNBTS-580617/LNCEL-11"
"","NOKIA SIEMENS","190119","12","DB_DBN_PU_TUU","DB_DBN_PU_TUU_M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-190119/LNBTS-190119/LNCEL-12"
"","NOKIA SIEMENS","605767","12","TYTR16","TYTR16M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-605767/LNBTS-605767/LNCEL-12"
"","NOKIA SIEMENS","542356","12","BPDA05","BPDA05M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-542356/LNBTS-542356/LNCEL-12"
"","NOKIA SIEMENS","480017","12","DLBT81","DLBT81M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-480017/LNBTS-480017/LNCEL-12"
"","NOKIA SIEMENS","563226","13","DNTN25","DNTN25M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-563226/LNBTS-563226/LNCEL-13"
"","NOKIA SIEMENS","573453","12","LDDA88","LDDA88M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-573453/LNBTS-573453/LNCEL-12"
"","NOKIA SIEMENS","510009","12","KTKT12","KTKT12M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-510009/LNBTS-510009/LNCEL-12"
"","NOKIA SIEMENS","500513","13","KHCL57","KHCL57M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-500513/LNBTS-500513/LNCEL-13"
"","NOKIA SIEMENS","140266","12","PYTH07","PYTH07M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-140266/LNBTS-140266/LNCEL-12"
"","NOKIA SIEMENS","100789","12","HTH003","HTH003M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-100789/LNBTS-100789/LNCEL-12"
"","NOKIA SIEMENS","130329","11","BDPM55","BDPM55M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-130329/LNBTS-130329/LNCEL-11"
"","NOKIA SIEMENS","684906","14","KGPQ62","KGPQ62I4BA",27-OCT-21 00:00:00,"PLMN-PLMN/MRBTS-684906/LNBTS-684906/LNCEL-14"
"","NOKIA SIEMENS","120378","11","DNHC52","DNHC52M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-120378/LNBTS-120378/LNCEL-11"
"","NOKIA SIEMENS","702551","13","TGCG16","TGCG16M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-702551/LNBTS-702551/LNCEL-13"
"","NOKIA SIEMENS","390120","12","QHCP30","QHCP30M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-390120/LNBTS-390120/LNCEL-12"
"","NOKIA SIEMENS","120704","11","DNCL65","DNCL65M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-120704/LNBTS-120704/LNCEL-11"
"","NOKIA SIEMENS","103030","11","HHI015","HHI015M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-103030/LNBTS-103030/LNCEL-11"
"","NOKIA SIEMENS","101499","13","HN_LBN_PHUC_LOI_3","HN_LBN_PHUC_LOI_3_M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-101499/LNBTS-101499/LNCEL-13"
"","NOKIA SIEMENS","563421","13","DNBH6J","DNBH6JM4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-563421/LNBTS-563421/LNCEL-13"
"","NOKIA SIEMENS","380088","11","LSLB03","LSLB03M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-380088/LNBTS-380088/LNCEL-11"
"","NOKIA SIEMENS","230107","11","LC_BTG_PHO_LU_3","LC_BTG_PHO_LU_3_M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-230107/LNBTS-230107/LNCEL-11"
"","NOKIA SIEMENS","702677","13","TGTP05","TGTP05M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-702677/LNBTS-702677/LNCEL-13"
"","NOKIA SIEMENS","490408","12","GLPK1C","GLPK1CC4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-490408/LNBTS-490408/LNCEL-12"
"","NOKIA SIEMENS","500270","12","KHKV20","KHKV20C4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-500270/LNBTS-500270/LNCEL-12"
"","NOKIA SIEMENS","140260","13","PYTA34","PYTA34M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-140260/LNBTS-140260/LNCEL-13"
"","NOKIA SIEMENS","180236","11","HUHU1Q","HUHU1QM4BA",06-DEC-21 00:00:00,"PLMN-PLMN/MRBTS-180236/LNBTS-180236/LNCEL-11"
"","NOKIA SIEMENS","150274","13","QADX45","QADX45M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-150274/LNBTS-150274/LNCEL-13"
"","NOKIA SIEMENS","595121","13","NTNP20","NTNP20M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-595121/LNBTS-595121/LNCEL-13"
"","NOKIA SIEMENS","120150","11","DNST46","DNST46M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-120150/LNBTS-120150/LNCEL-11"
"","NOKIA SIEMENS","390962","12","QHHL2G","QHHL2GM4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-390962/LNBTS-390962/LNCEL-12"
"","NOKIA SIEMENS","150107","11","QAPN07","QAPN07M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-150107/LNBTS-150107/LNCEL-11"
"","NOKIA SIEMENS","115177","12","HGV076","HGV076M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-115177/LNBTS-115177/LNCEL-12"
"","NOKIA SIEMENS","574686","12","LDDT35","LDDT35M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-574686/LNBTS-574686/LNCEL-12"
"","NOKIA SIEMENS","103070","13","H2_MDC_AN_TIEN","H2_MDC_AN_TIEN_M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-103070/LNBTS-103070/LNCEL-13"
"","NOKIA SIEMENS","116454","11","HTD212","HTD212M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-116454/LNBTS-116454/LNCEL-11"
"","NOKIA SIEMENS","605503","12","TYMC02","TYMC02M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-605503/LNBTS-605503/LNCEL-12"
"","NOKIA SIEMENS","574763","11","LDLH12","LDLH12M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-574763/LNBTS-574763/LNCEL-11"
"","NOKIA SIEMENS","580340","13","LAHA23","LAHA23M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-580340/LNBTS-580340/LNCEL-13"
"","NOKIA SIEMENS","586292","13","LATU11","LATU11M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-586292/LNBTS-586292/LNCEL-13"
"","NOKIA SIEMENS","705501","11","TGCG20","TGCG20M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-705501/LNBTS-705501/LNCEL-11"
"","NOKIA SIEMENS","130339","12","BDQN93","BDQN93M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-130339/LNBTS-130339/LNCEL-12"
"","NOKIA SIEMENS","594179","11","NTTN17","NTTN17M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-594179/LNBTS-594179/LNCEL-11"
"","NOKIA SIEMENS","522434","12","VUTT88","VUTT88M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-522434/LNBTS-522434/LNCEL-12"
"","NOKIA SIEMENS","573984","11","LDTE13","LDTE13M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-573984/LNBTS-573984/LNCEL-11"
"","NOKIA SIEMENS","532532","18","BDTA1I","BDTA1IM4CB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-532532/LNBTS-532532/LNCEL-18"
"","NOKIA SIEMENS","542651","13","BPPL00","BPPL00M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-542651/LNBTS-542651/LNCEL-13"
"","NOKIA SIEMENS","101780","11","HHI206","HHI206M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-101780/LNBTS-101780/LNCEL-11"
"","NOKIA SIEMENS","500136","12","KHCR09","KHCR09M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-500136/LNBTS-500136/LNCEL-12"
"","NOKIA SIEMENS","180033","13","HUHA35","HUHA35M4BC",17-DEC-21 00:00:00,"PLMN-PLMN/MRBTS-180033/LNBTS-180033/LNCEL-13"
"","NOKIA SIEMENS","160240","12","QNBS89","QNBS89M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-160240/LNBTS-160240/LNCEL-12"
"","NOKIA SIEMENS","150056","13","QATK33","QATK33M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-150056/LNBTS-150056/LNCEL-13"
"","NOKIA SIEMENS","521445","11","VUBR01","VUBR01C4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-521445/LNBTS-521445/LNCEL-11"
"","NOKIA SIEMENS","684743","11","KGPQ23","KGPQ23M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-684743/LNBTS-684743/LNCEL-11"
"","NOKIA SIEMENS","563212","11","DNTN11","DNTN11M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-563212/LNBTS-563212/LNCEL-11"
"","NOKIA SIEMENS","390568","12","QHDT10","QHDT10M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-390568/LNBTS-390568/LNCEL-12"
"","NOKIA SIEMENS","510174","13","KTKT75","KTKT75M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-510174/LNBTS-510174/LNCEL-13"
"","NOKIA SIEMENS","586362","12","LATT25","LATT25M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-586362/LNBTS-586362/LNCEL-12"
