"OBJECTNAME","RNCNAME","RNCDESCRIPTION","WBTSNAME","BTSADDITIONALINFO","CELLNAME","CID","LAC","RAC","SAC","PRISCRCODE","UARFCN","URAID","RNCID","WBTSID","WCELID","OMCNAME","DATEADDED","BTSNAMEALT"
"PLMN-PLMN/RNC-225/WBTS-3451/WCEL-8","RSG092N","","HTD052","","HTD052H","","","","","","","","225","3451","8","",01-DEC-22 09:03:54,""
"PLMN-PLMN/RNC-341/WBTS-800/WCEL-3","RDNCL1N","","QNMD21","","QNMD21C","","","","","","","","341","800","3","",06-AUG-23 00:00:00,""
"PLMN-PLMN/RNC-341/WBTS-801/WCEL-3","RDNCL1N","","QNDP57","","QNDP57C","","","","","","","","341","801","3","",06-AUG-23 00:00:00,""
"PLMN-PLMN/RNC-604/WBTS-13/WCEL-5","RDNBH5N","","DNLT32","","DNLT32E","","","","","","","","604","13","5","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-401/WCEL-7","RBDTM1N","","BDBB00","","BDBB00G","","","","","","","","63","401","7","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-604/WBTS-123/WCEL-6","RDNBH5N","","DNLT18","","DNLT18F","","","","","","","","604","123","6","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-604/WBTS-405/WCEL-4","RDNBH5N","","DNLK00","","DNLK00D","","","","","","","","604","405","4","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-605/WBTS-166/WCEL-6","RVTVT3N","","VUXM13","","VUXM13F","","","","","","","","605","166","6","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-675/WCEL-8","RBDTM1N","","BDBB08","","BDBB08H","","","","","","","","63","675","8","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-166/WCEL-4","RBDTM1N","","BDBB09","","BDBB09D","","","","","","","","63","166","4","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-696/WCEL-5","RBDTM1N","","BDBB10","","BDBB10E","","","","","","","","63","696","5","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-696/WCEL-6","RBDTM1N","","BDBB10","","BDBB10F","","","","","","","","63","696","6","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-167/WCEL-7","RBDTM1N","","BDBB11","","BDBB11G","","","","","","","","63","167","7","",10-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-167/WCEL-9","RBDTM1N","","BDBB11","","BDBB11I","","","","","","","","63","167","9","",10-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-605/WBTS-161/WCEL-2","RVTVT3N","","VUXM07","","VUXM07B","","","","","","","","605","161","2","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-71/WBTS-529/WCEL-6","RDNBH3N","","DNBH3E","","DNBH3EF","","","","","","","","71","529","6","",18-OCT-22 00:00:00,""
"PLMN-PLMN/RNC-225/WBTS-132/WCEL-6","RSG092N","","HCC133","","HCC133F","","","","","","","","225","132","6","",05-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-892/WCEL-7","RBDTM4N","","BDDA29","","BDDA29G","","","","","","","","608","892","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-226/WBTS-238/WCEL-4","RSG094N","","H09200","","H09200W","","","","","","","","226","238","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-119/WCEL-7","RBDTM4N","","BDDA31","","BDDA31G","","","","","","","","608","119","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-119/WCEL-8","RBDTM4N","","BDDA31","","BDDA31H","","","","","","","","608","119","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-119/WCEL-9","RBDTM4N","","BDDA31","","BDDA31I","","","","","","","","608","119","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-226/WBTS-651/WCEL-4","RSG094N","","HTD274","","HTD274D","","","","","","","","226","651","4","",05-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-381/WCEL-6","RSG091N","","H12081","","H12081F","","","","","","","","224","381","6","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-380/WCEL-6","RSG091N","","H12080","","H12080F","","","","","","","","224","380","6","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-417/WCEL-5","RSG091N","","H12120","","H12120E","","","","","","","","224","417","5","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-121/WCEL-9","RBDTM4N","","BDDA36","","BDDA36I","","","","","","","","608","121","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-333/WBTS-498/WCEL-1","RDNCL5N","","DNCL55","","DNCL55A","","","","","","","","333","498","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-225/WBTS-3484/WCEL-8","RSG092N","","HTD085","","HTD085H","","","","","","","","225","3484","8","",01-DEC-22 09:03:54,""
"PLMN-PLMN/RNC-225/WBTS-3427/WCEL-8","RSG092N","","HTD028","","HTD028H","","","","","","","","225","3427","8","",01-DEC-22 09:03:55,""
"PLMN-PLMN/RNC-225/WBTS-3651/WCEL-9","RSG092N","","HTD274","","HTD274I","","","","","","","","225","3651","9","",01-DEC-22 09:02:09,""
"PLMN-PLMN/RNC-337/WBTS-450/WCEL-2","RDNCL7N","","KHCL35","","KHCL35B","","","","","","","","337","450","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-401/WCEL-3","RDNCL7N","","KHCL37","","KHCL37C","","","","","","","","337","401","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-405/WCEL-3","RDNCL7N","","KHCL41","","KHCL41C","","","","","","","","337","405","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-406/WCEL-2","RDNCL7N","","KHCL42","","KHCL42B","","","","","","","","337","406","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-406/WCEL-3","RDNCL7N","","KHCL42","","KHCL42C","","","","","","","","337","406","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-407/WCEL-1","RDNCL7N","","KHCL43","","KHCL43A","","","","","","","","337","407","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-408/WCEL-1","RDNCL7N","","KHCL44","","KHCL44A","","","","","","","","337","408","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-746/WCEL-5","RCTCR1N","","AGTB22","","AGTB22E","","","","","","","","417","746","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-746/WCEL-7","RCTCR1N","","AGTB22","","AGTB22G","","","","","","","","417","746","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-469/WCEL-8","RCTCR1N","","AGTB25","","AGTB25H","","","","","","","","417","469","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-21/WCEL-5","RCTCR1N","","AGTC01","","AGTC01E","","","","","","","","417","21","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-21/WCEL-8","RCTCR1N","","AGTC01","","AGTC01H","","","","","","","","417","21","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-204/WCEL-9","RBDTM1N","","BDBB12","","BDBB12I","","","","","","","","63","204","9","",10-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-293/WCEL-4","RBDTM1N","","BDBB13","","BDBB13D","","","","","","","","63","293","4","",10-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-293/WCEL-9","RBDTM1N","","BDBB13","","BDBB13I","","","","","","","","63","293","9","",24-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-674/WCEL-7","RBDTM1N","","BDBB17","","BDBB17G","","","","","","","","63","674","7","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-684/WCEL-4","RBDTM1N","","BDBB19","","BDBB19D","","","","","","","","63","684","4","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-269/WCEL-7","RBDTM1N","","BDBB26","","BDBB26G","","","","","","","","63","269","7","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-603/WCEL-7","RBDTM1N","","BDBB27","","BDBB27G","","","","","","","","63","603","7","",10-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-428/WCEL-2","RSG091N","","H12131","","H12131V","","","","","","","","224","428","2","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-624/WCEL-7","RBDTM1N","","BDBB32","","BDBB32G","","","","","","","","63","624","7","",25-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-63/WBTS-733/WCEL-3","RBDTM1N","","BDBB34","","BDBB34C","","","","","","","","63","733","3","",10-JUL-23 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-122/WCEL-9","RBDTM4N","","BDDA37","","BDDA37I","","","","","","","","608","122","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-300/WCEL-5","RSG091N","","H12000","","H12000E","","","","","","","","224","300","5","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-125/WCEL-9","RBDTM4N","","BDDA40","","BDDA40I","","","","","","","","608","125","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-448/WCEL-6","RSG091N","","H12152","","H12152F","","","","","","","","224","448","6","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-461/WCEL-7","RBDTM4N","","BDDA42","","BDDA42G","","","","","","","","608","461","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-313/WCEL-2","RSG091N","","H12184","","H12184M","","","","","","","","224","313","2","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-291/WCEL-7","RBDTM4N","","BDDA43","","BDDA43G","","","","","","","","608","291","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-608/WBTS-291/WCEL-8","RBDTM4N","","BDDA43","","BDDA43H","","","","","","","","608","291","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-324/WCEL-4","RSG091N","","H12024","","H12024D","","","","","","","","224","324","4","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-322/WCEL-2","RSG091N","","H12183","","H12183M","","","","","","","","224","322","2","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-224/WBTS-335/WCEL-5","RSG091N","","H12035","","H12035E","","","","","","","","224","335","5","",04-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-413/WCEL-3","RDNCL7N","","KHCL49","","KHCL49C","","","","","","","","337","413","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-415/WCEL-3","RDNCL7N","","KHCL51","","KHCL51C","","","","","","","","337","415","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-425/WCEL-2","RDNCL7N","","KHCL55","","KHCL55B","","","","","","","","337","425","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-419/WCEL-3","RDNCL7N","","KHCL57","","KHCL57C","","","","","","","","337","419","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-487/WCEL-2","RDNCL7N","","KHCL59","","KHCL59B","","","","","","","","337","487","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-337/WBTS-488/WCEL-3","RDNCL7N","","KHCL60","","KHCL60C","","","","","","","","337","488","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-21/WCEL-9","RCTCR1N","","AGTC01","","AGTC01I","","","","","","","","417","21","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-99/WCEL-4","RCTCR1N","","AGTC02","","AGTC02D","","","","","","","","417","99","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-562/WCEL-7","RCTCR1N","","AGCD36","","AGCD36G","","","","","","","","417","562","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-562/WCEL-8","RCTCR1N","","AGCD36","","AGCD36H","","","","","","","","417","562","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-562/WCEL-9","RCTCR1N","","AGCD36","","AGCD36I","","","","","","","","417","562","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-712/WCEL-3","RCTCR1N","","AGCD37","","AGCD37C","","","","","","","","417","712","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-712/WCEL-4","RCTCR1N","","AGCD37","","AGCD37D","","","","","","","","417","712","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-711/WCEL-3","RCTCR1N","","AGCDL0","","AGCDL0C","","","","","","","","417","711","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-711/WCEL-8","RCTCR1N","","AGCDL0","","AGCDL0H","","","","","","","","417","711","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-711/WCEL-9","RCTCR1N","","AGCDL0","","AGCDL0I","","","","","","","","417","711","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-9/WCEL-4","RCTCR1N","","AGCM01","","AGCM01D","","","","","","","","417","9","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-41/WCEL-8","RCTCR1N","","AGCM03","","AGCM03H","","","","","","","","417","41","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-82/WCEL-7","RCTCR1N","","AGCM04","","AGCM04G","","","","","","","","417","82","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-76/WCEL-5","RCTCR1N","","AGCM05","","AGCM05E","","","","","","","","417","76","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-31/WCEL-1","RCTCR1N","","AGCM06","","AGCM06A","","","","","","","","417","31","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-49/WCEL-6","RCTCR1N","","AGCM07","","AGCM07F","","","","","","","","417","49","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-48/WCEL-3","RCTCR1N","","AGCM08","","AGCM08C","","","","","","","","417","48","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-48/WCEL-16","RCTCR1N","","AGCM08","","AGCM08P","","","","","","","","417","48","16","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-78/WCEL-9","RCTCR1N","","AGCM10","","AGCM10I","","","","","","","","417","78","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-79/WCEL-5","RCTCR1N","","AGCM11","","AGCM11E","","","","","","","","417","79","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-251/WCEL-8","RCTCR1N","","AGCM12","","AGCM12H","","","","","","","","417","251","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-251/WCEL-9","RCTCR1N","","AGCM12","","AGCM12I","","","","","","","","417","251","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-50/WCEL-16","RCTCR1N","","AGCM15","","AGCM15P","","","","","","","","417","50","16","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-268/WCEL-8","RCTCR1N","","AGCM17","","AGCM17H","","","","","","","","417","268","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-269/WCEL-5","RCTCR1N","","AGCM18","","AGCM18E","","","","","","","","417","269","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-269/WCEL-8","RCTCR1N","","AGCM18","","AGCM18H","","","","","","","","417","269","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-269/WCEL-9","RCTCR1N","","AGCM18","","AGCM18I","","","","","","","","417","269","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-434/WCEL-6","RCTCR1N","","AGCM20","","AGCM20F","","","","","","","","417","434","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-271/WCEL-4","RCTCR1N","","AGCM21","","AGCM21D","","","","","","","","417","271","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-435/WCEL-5","RCTCR1N","","AGCM22","","AGCM22E","","","","","","","","417","435","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-435/WCEL-9","RCTCR1N","","AGCM22","","AGCM22I","","","","","","","","417","435","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-272/WCEL-9","RCTCR1N","","AGCM25","","AGCM25I","","","","","","","","417","272","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-458/WCEL-6","RCTCR1N","","AGCM26","","AGCM26F","","","","","","","","417","458","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-460/WCEL-4","RCTCR1N","","AGCM32","","AGCM32D","","","","","","","","417","460","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-274/WCEL-8","RCTCR1N","","AGCM34","","AGCM34H","","","","","","","","417","274","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-461/WCEL-6","RCTCR1N","","AGCM35","","AGCM35F","","","","","","","","417","461","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-461/WCEL-7","RCTCR1N","","AGCM35","","AGCM35G","","","","","","","","417","461","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-178/WCEL-5","RCTCR1N","","AGCM36","","AGCM36E","","","","","","","","417","178","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-178/WCEL-7","RCTCR1N","","AGCM36","","AGCM36G","","","","","","","","417","178","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-437/WCEL-4","RCTCR1N","","AGCM37","","AGCM37D","","","","","","","","417","437","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-275/WCEL-5","RCTCR1N","","AGCM39","","AGCM39E","","","","","","","","417","275","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-275/WCEL-13","RCTCR1N","","AGCM39","","AGCM39M","","","","","","","","417","275","13","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-277/WCEL-5","RCTCR1N","","AGCM43","","AGCM43E","","","","","","","","417","277","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-277/WCEL-6","RCTCR1N","","AGCM43","","AGCM43F","","","","","","","","417","277","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-278/WCEL-6","RCTCR1N","","AGCM44","","AGCM44F","","","","","","","","417","278","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-280/WCEL-5","RCTCR1N","","AGCM46","","AGCM46E","","","","","","","","417","280","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-280/WCEL-7","RCTCR1N","","AGCM46","","AGCM46G","","","","","","","","417","280","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-281/WCEL-1","RCTCR1N","","AGCM47","","AGCM47A","","","","","","","","417","281","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-281/WCEL-2","RCTCR1N","","AGCM47","","AGCM47B","","","","","","","","417","281","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-281/WCEL-8","RCTCR1N","","AGCM47","","AGCM47H","","","","","","","","417","281","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-247/WCEL-7","RCTCR1N","","AGCM52","","AGCM52G","","","","","","","","417","247","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-247/WCEL-9","RCTCR1N","","AGCM52","","AGCM52I","","","","","","","","417","247","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-248/WCEL-6","RCTCR1N","","AGCM53","","AGCM53F","","","","","","","","417","248","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-248/WCEL-8","RCTCR1N","","AGCM53","","AGCM53H","","","","","","","","417","248","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-249/WCEL-16","RCTCR1N","","AGCM54","","AGCM54P","","","","","","","","417","249","16","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-481/WCEL-6","RCTCR1N","","AGCM55","","AGCM55F","","","","","","","","417","481","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-482/WCEL-7","RCTCR1N","","AGCM56","","AGCM56G","","","","","","","","417","482","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-495/WCEL-13","RCTCR1N","","AGCM57","","AGCM57M","","","","","","","","417","495","13","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-484/WCEL-6","RCTCR1N","","AGCM58","","AGCM58F","","","","","","","","417","484","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-484/WCEL-9","RCTCR1N","","AGCM58","","AGCM58I","","","","","","","","417","484","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-485/WCEL-9","RCTCR1N","","AGCM59","","AGCM59I","","","","","","","","417","485","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-708/WCEL-16","RCTCR1N","","AGCM64","","AGCM64P","","","","","","","","417","708","16","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-42/WCEL-7","RCTCR1N","","AGCP02","","AGCP02G","","","","","","","","417","42","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-42/WCEL-8","RCTCR1N","","AGCP02","","AGCP02H","","","","","","","","417","42","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-42/WCEL-9","RCTCR1N","","AGCP02","","AGCP02I","","","","","","","","417","42","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-32/WCEL-6","RCTCR1N","","AGCP03","","AGCP03F","","","","","","","","417","32","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-114/WCEL-4","RCTCR1N","","AGCP06","","AGCP06D","","","","","","","","417","114","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-447/WCEL-7","RCTCR1N","","AGPT27","","AGPT27G","","","","","","","","417","447","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-447/WCEL-8","RCTCR1N","","AGPT27","","AGPT27H","","","","","","","","417","447","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-439/WCEL-9","RCTCR1N","","AGPT28","","AGPT28I","","","","","","","","417","439","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-444/WCEL-5","RCTCR1N","","AGPT29","","AGPT29E","","","","","","","","417","444","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-756/WCEL-9","RCTCR1N","","AGPT30","","AGPT30I","","","","","","","","417","756","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-370/WCEL-4","RCTCR1N","","AGPT32","","AGPT32D","","","","","","","","417","370","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-370/WCEL-5","RCTCR1N","","AGPT32","","AGPT32E","","","","","","","","417","370","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-370/WCEL-7","RCTCR1N","","AGPT32","","AGPT32G","","","","","","","","417","370","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-511/WCEL-4","RCTCR1N","","AGPT33","","AGPT33D","","","","","","","","417","511","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-512/WCEL-7","RCTCR1N","","AGPT34","","AGPT34G","","","","","","","","417","512","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-515/WCEL-9","RCTCR1N","","AGPT36","","AGPT36I","","","","","","","","417","515","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-551/WCEL-3","RCTCR1N","","AGPT40","","AGPT40C","","","","","","","","417","551","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-98/WCEL-6","RCTCR1N","","AGTB01","","AGTB01F","","","","","","","","417","98","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-98/WCEL-13","RCTCR1N","","AGTB01","","AGTB01M","","","","","","","","417","98","13","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-40/WCEL-2","RCTCR1N","","AGTB03","","AGTB03B","","","","","","","","417","40","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-40/WCEL-4","RCTCR1N","","AGTB03","","AGTB03D","","","","","","","","417","40","4","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-40/WCEL-5","RCTCR1N","","AGTB03","","AGTB03E","","","","","","","","417","40","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-40/WCEL-9","RCTCR1N","","AGTB03","","AGTB03I","","","","","","","","417","40","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-417/WCEL-5","RCTCR1N","","AGTB05","","AGTB05E","","","","","","","","417","417","5","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-417/WCEL-6","RCTCR1N","","AGTB05","","AGTB05F","","","","","","","","417","417","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-413/WCEL-6","RCTCR1N","","AGTB06","","AGTB06F","","","","","","","","417","413","6","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-413/WCEL-7","RCTCR1N","","AGTB06","","AGTB06G","","","","","","","","417","413","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-331/WCEL-7","RCTCR1N","","AGTB07","","AGTB07G","","","","","","","","417","331","7","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-331/WCEL-9","RCTCR1N","","AGTB07","","AGTB07I","","","","","","","","417","331","9","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-28/WCEL-1","RCTCR1N","","AGTB08","","AGTB08A","","","","","","","","417","28","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-28/WCEL-2","RCTCR1N","","AGTB08","","AGTB08B","","","","","","","","417","28","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-467/WCEL-3","RCTCR1N","","AGTB09","","AGTB09C","","","","","","","","417","467","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-417/WBTS-467/WCEL-5","RCTCR1N","","AGTB09","","AGTB09E","","","","","","","","417","467","5","",08-JAN-24 00:00:00,""
