"OBJECTNAME","RNCNAME","RNCDESCRIPTION","WBTSNAME","BTSADDITIONALINFO","CELLNAME","CID","LAC","RAC","SAC","PRISCRCODE","UARFCN","URAID","RNCID","WBTSID","WCELID","OMCNAME","DATEADDED","BTSNAMEALT"
"PLMN-PLMN/RNC-401/WBTS-424/WCEL-4","RCTNK10N","","DTCH22","","DTCH22D","","","","","","","","401","424","4","",16-JUN-23 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-468/WCEL-4","RDNST6N","","DNNH41","","DNNH41D","","","","","","","","326","468","4","",13-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-487/WCEL-8","RDNST6N","","DNNH42","","DNNH42H","","","","","","","","326","487","8","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-359/WCEL-3","RDNST6N","","DNNH43","","DNNH43C","","","","","","","","326","359","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-359/WCEL-6","RDNST6N","","DNNH43","","DNNH43F","","","","","","","","326","359","6","",13-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-44/WCEL-5","RDNST6N","","DNNH47","","DNNH47E","","","","","","","","326","44","5","",13-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-44/WCEL-11","RDNST6N","","DNNH47","","DNNH47M","","","","","","","","326","44","11","",13-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-44/WCEL-14","RDNST6N","","DNNH47","","DNNH47P","","","","","","","","326","44","14","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-1164/WCEL-7","RDNST6N","","DNNH48","","DNNH48G","","","","","","","","326","1164","7","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-1164/WCEL-8","RDNST6N","","DNNH48","","DNNH48H","","","","","","","","326","1164","8","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-521/WCEL-9","RDNST6N","","DNST67","","DNST67I","","","","","","","","326","521","9","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-523/WCEL-9","RDNST6N","","DNST69","","DNST69I","","","","","","","","326","523","9","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-525/WCEL-2","RDNST6N","","DNST71","","DNST71B","","","","","","","","326","525","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-525/WCEL-3","RDNST6N","","DNST71","","DNST71C","","","","","","","","326","525","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-525/WCEL-7","RDNST6N","","DNST71","","DNST71G","","","","","","","","326","525","7","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-525/WCEL-8","RDNST6N","","DNST71","","DNST71H","","","","","","","","326","525","8","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-645/WCEL-5","RDNST6N","","DNST72","","DNST72E","","","","","","","","326","645","5","",13-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-645/WCEL-6","RDNST6N","","DNST72","","DNST72F","","","","","","","","326","645","6","",13-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-529/WCEL-2","RDNST6N","","DNST75","","DNST75B","","","","","","","","326","529","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-335/WBTS-124/WCEL-6","RDNTK5N","","DNLC19","","DNLC19F","","","","","","","","335","124","6","",01-DEC-22 09:01:15,""
"PLMN-PLMN/RNC-326/WBTS-445/WCEL-3","RDNST6N","","DNTK45","","DNTK45C","","","","","","","","326","445","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-307/WCEL-6","RDNST6N","","DNTK46","","DNTK46F","","","","","","","","326","307","6","",13-SEP-22 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-307/WCEL-7","RDNST6N","","DNTK46","","DNTK46G","","","","","","","","326","307","7","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-446/WCEL-8","RDNST6N","","DNTK49","","DNTK49K","","","","","","","","326","446","8","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-446/WCEL-2","RDNST6N","","DNTK49","","DNTK49Q","","","","","","","","326","446","2","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-335/WBTS-249/WCEL-6","RDNTK5N","","DNLC1A","","DNLC1AF","","","","","","","","335","249","6","",01-DEC-22 09:03:29,""
"PLMN-PLMN/RNC-335/WBTS-911/WCEL-4","RDNTK5N","","DNLC1C","","DNLC1CD","","","","","","","","335","911","4","",01-DEC-22 09:00:50,""
"PLMN-PLMN/RNC-335/WBTS-911/WCEL-9","RDNTK5N","","DNLC1C","","DNLC1CI","","","","","","","","335","911","9","",01-DEC-22 09:00:50,""
"PLMN-PLMN/RNC-335/WBTS-912/WCEL-7","RDNTK5N","","DNLC1D","","DNLC1DG","","","","","","","","335","912","7","",01-DEC-22 09:00:50,""
"PLMN-PLMN/RNC-335/WBTS-912/WCEL-8","RDNTK5N","","DNLC1D","","DNLC1DH","","","","","","","","335","912","8","",01-DEC-22 09:00:50,""
"PLMN-PLMN/RNC-401/WBTS-82/WCEL-7","RCTNK10N","","DTCH23","","DTCH23G","","","","","","","","401","82","7","",16-JUN-23 00:00:00,""
"PLMN-PLMN/RNC-401/WBTS-72/WCEL-5","RCTNK10N","","DTCH25","","DTCH25E","","","","","","","","401","72","5","",16-JUN-23 00:00:00,""
"PLMN-PLMN/RNC-401/WBTS-135/WCEL-6","RCTNK10N","","DTCH27","","DTCH27F","","","","","","","","401","135","6","",16-JUN-23 00:00:00,""
