"BSCID","VENDOR","REGION","LAUNCH_DATE","MSCID","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","NE_TYPE"
"MBHPHA4H","HUAWEI","MB",,"","TVT Hải Phòng","ĐVT Hải Phòng","TVT Hải Phòng","","Lê Chân",,,"",,"Hải Phòng","RNC"
"RQNUB1H","HUAWEI","MB",,"","TVT Quảng Ninh","ĐVT Hải Phòng","TVT Quảng Ninh","","Uông Bí",,,"",,"Quảng Ninh","RNC"
"RQNHL1E","ERICSSON","MB",,"","TVT Quảng Ninh","ĐVT Hải Phòng","TVT Quảng Ninh","","Hạ Long",,,"",,"Quảng Ninh","RNC"
"RQNHL2E","ERICSSON","MB",,"","TVT Quảng Ninh","ĐVT Hải Phòng","TVT Quảng Ninh","","Hạ Long",,,"",,"Quảng Ninh","RNC"
"RHPHA1H","HUAWEI","MB",,"","TVT Thái Bình","ĐVT Hải Phòng","TVT Thái Bình","","Thái Bình",,,"",,"Thái Bình","RNC"
"iHNHM1H","HUAWEI","MB",,"","TVT Thái Bình","ĐVT Hải Phòng","TVT Thái Bình","","Thái Bình",,,"",,"Thái Bình","RNC"
"RHNHM4H","HUAWEI","MB",,"","TVT Hà Nam","ĐVT Nam Định","TVT Hà Nam","","Phủ Lý",,,"",,"Hà Nam","RNC"
"RCTNK3N","NOKIA SIEMENS","MN",,"","TVT Hậu Giang","ĐVT Cần Thơ","TVT Hậu Giang","","Châu Thành",,,"",,"Hậu Giang","RNC"
"RCTNK4N","NOKIA SIEMENS","MN",,"","TVT Hậu Giang","ĐVT Cần Thơ","TVT Hậu Giang","","Châu Thành",,,"",,"Hậu Giang","RNC"
"RCTNK12N","NOKIA SIEMENS","MN",,"","TVT Hậu Giang","ĐVT Cần Thơ","TVT Hậu Giang","","Châu Thành",,,"",,"Hậu Giang","RNC"
"RSGBT1E","ERICSSON","MN",,"","TVT 1","ĐVT Đông","TVT 1","","Q.Bình Tân",,,"",,"Hồ Chí Minh","RNC"
"RSG012E","ERICSSON","MN",,"","TVT 1","ĐVT Đông","TVT 1","","Q.1",,,"",,"Hồ Chí Minh","RNC"
"RSG031E","ERICSSON","MN",,"","TVT 1","ĐVT Đông","TVT 1","","Q.3",,,"",,"Hồ Chí Minh","RNC"
"RSG051E","ERICSSON","MN",,"","TVT 1","ĐVT Đông","TVT 1","","Q.5",,,"",,"Hồ Chí Minh","RNC"
"RSGTD1E","ERICSSON","MN",,"","TVT 2","ĐVT Đông","TVT 2","","Q.Thủ Đức",,,"",,"Hồ Chí Minh","RNC"
"RSGTD2E","ERICSSON","MN",,"","TVT 2","ĐVT Đông","TVT 2","","Q.Thủ Đức",,,"",,"Hồ Chí Minh","RNC"
"RSG021E","ERICSSON","MN",,"","TVT 2","ĐVT Đông","TVT 2","","Q.2",,,"",,"Hồ Chí Minh","RNC"
"RSG091E","ERICSSON","MN",,"","TVT 2","ĐVT Đông","TVT 2","","Q.9",,,"",,"Hồ Chí Minh","RNC"
"RSGNB1E","ERICSSON","MN",,"","TVT 3","ĐVT Đông","TVT 3","","H.Nhà Bè",,,"",,"Hồ Chí Minh","RNC"
"RSG071E","ERICSSON","MN",,"","TVT 3","ĐVT Đông","TVT 3","","Q.7",,,"",,"Hồ Chí Minh","RNC"
"RSG072E","ERICSSON","MN",,"","TVT 3","ĐVT Đông","TVT 3","","Q.7",,,"",,"Hồ Chí Minh","RNC"
"RSG111E","ERICSSON","MN",,"","TVT 4","ĐVT Đông","TVT 4","","Q.11",,,"",,"Hồ Chí Minh","RNC"
"RSG101E","ERICSSON","MN",,"","TVT 4","ĐVT Đông","TVT 4","","Q.10",,,"",,"Hồ Chí Minh","RNC"
"RSG081E","ERICSSON","MN",,"","TVT 5","ĐVT Tây","TVT 5","","Q.8",,,"",,"Hồ Chí Minh","RNC"
"RSGBC1E","ERICSSON","MN",,"","TVT 5","ĐVT Tây","TVT 5","","H.Bình Chánh",,,"",,"Hồ Chí Minh","RNC"
"RSG082E","ERICSSON","MN",,"","TVT 5","ĐVT Tây","TVT 5","","Q.8",,,"",,"Hồ Chí Minh","RNC"
"RSGBC2E","ERICSSON","MN",,"","TVT 5","ĐVT Tây","TVT 5","","H.Bình Chánh",,,"",,"Hồ Chí Minh","RNC"
"RSGCC1E","ERICSSON","MN",,"","TVT 6","ĐVT Tây","TVT 6","","H.Củ Chi",,,"",,"Hồ Chí Minh","RNC"
"RSGHM1E","ERICSSON","MN",,"","TVT 6","ĐVT Tây","TVT 6","","H.Hóc Môn",,,"",,"Hồ Chí Minh","RNC"
"RSGGV1E","ERICSSON","MN",,"","TVT 7","ĐVT Tây","TVT 7","","Q.Gò Vấp",,,"",,"Hồ Chí Minh","RNC"
"RSGTB2E","ERICSSON","MN",,"","TVT 7","ĐVT Tây","TVT 7","","Q.Tân Bình",,,"",,"Hồ Chí Minh","RNC"
"RTGMT4N","NOKIA SIEMENS","MN",,"","TVT 7","ĐVT Tây","TVT 7","","Q.9",,,"",,"Hồ Chí Minh","RNC"
"RSG121E","ERICSSON","MN",,"","TVT 7","ĐVT Tây","TVT 7","","Q.12",,,"",,"Hồ Chí Minh","RNC"
"RSGBI2E","ERICSSON","MN",,"","TVT 8","ĐVT Tây","TVT 8","","H.Bình Chánh",,,"",,"Hồ Chí Minh","RNC"
"RSGTP1E","ERICSSON","MN",,"","TVT 8","ĐVT Tây","TVT 8","","Q.Tân Phú",,,"",,"Hồ Chí Minh","RNC"
"RSG061E","ERICSSON","MN",,"","TVT 8","ĐVT Tây","TVT 8","","Q.6",,,"",,"Hồ Chí Minh","RNC"
"RHNCG3H","HUAWEI","MB",,"","TVT Hòa Bình","ĐVT Nam Định","TVT Hòa Bình","","Hòa Bình",,,"",,"Hòa Bình","RNC"
"RDNST4N","NOKIA SIEMENS","MT",,"","TVT Huế","ĐVT Đà Nẵng","TVT Huế","","Huế",,,"",,"Huế","RNC"
