"REGION","NE_TYPE","NE","NODE_ID","DEPT","TEAM","VENDOR","NETWORK"
"MB","GGSN-SPGW","vEPG_UPYHA02E","vEPG_UPYHA02E","NOC_MB","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MB","GGSN-SPGW","vEPG_UPYHA03E","vEPG_UPYHA03E","NOC_MB","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","GGSN-SPGW","vEPG_CPC3001E","vEPG_CPC3001E","NOC_MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","GGSN-SPGW","vEPG_UPC3001E","vEPG_UPC3001E","NOC_MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","GGSN-SPGW","vEPG_CPQ0903E","vEPG_CPQ0903E","NOC_MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","GGSN-SPGW","vEPG_UPQ0903E","vEPG_UPQ0903E","NOC_MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","GGSN-SPGW","vEPG_CPQ0904E","vEPG_CPQ0904E","NOC_MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","GGSN-SPGW","vEPG_UPQ0904E","vEPG_UPQ0904E","NOC_MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","GGSN-SPGW","vEPG_CPQ0905E","vEPG_CPQ0905E","NOC_MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MN","GGSN-SPGW","vEPG_UPQ0905E","vEPG_UPQ0905E","NOC_MN","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MT","GGSN-SPGW","vEPG_CPNHT02E","vEPG_CPNHT02E","NOC_MT","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
"MT","GGSN-SPGW","vEPG_UPNHT02E","vEPG_UPNHT02E","NOC_MT","Tổ Quản lý mạng lõi","ERICSSON","PS_CORE"
